60 80 1 -0.000188357
60 80 1 -0.000236279
60 80 1 -0.000271357
60 80 1 -0.000298087
60 80 1 -0.000318873
60 80 1 0.000205029
60 80 1 0.000150328
60 80 1 7.96346e-05
60 80 1 0
60 80 1 -7.06402e-05
60 80 1 -0.000125275
60 80 1 -0.000166839
60 80 1 -0.000199032
60 80 1 -0.000224427
60 80 1 -0.000244699
60 80 1 0.000141019
60 80 1 9.94083e-05
60 80 1 5.11504e-05
60 80 1 0
60 80 1 -4.82381e-05
60 80 1 -8.98223e-05
60 80 1 -0.000124181
60 80 1 -0.000152214
60 80 1 -0.000175053
60 80 1 -0.000193665
60 80 1 0.000104633
60 80 1 7.23883e-05
60 80 1 3.68386e-05
60 80 1 0
